,State_UT,Dose_1,Dose_2,Total_Vaccination,Total_Vaccination_Yesterday,Total_Cases,Active_Cases,Recovered,Deaths,Active Ratio,Recovered Ratio,Death Ratio
0,Andaman and Nicobar,105932,15154,121086,120277,6901,220,6573,108,3.19%,95.25%,1.56%
1,Andhra Pradesh,6076647,2383116,8459763,8156085,1627390,192104,1424859,10427,11.80%,87.55%,0.64%
2,Arunachal Pradesh,251246,78111,329357,328545,25376,3504,21765,107,13.81%,85.77%,0.42%
3,Assam,3121334,813577,3934911,3898903,386870,54231,329634,3005,14.02%,85.21%,0.78%
4,Bihar,8309462,1754468,10063930,9986557,698329,30993,662491,4845,4.44%,94.87%,0.69%
5,Chandigarh,250116,74697,324813,323363,59216,3573,54921,722,6.03%,92.75%,1.22%
6,Chhattisgarh,5843954,1096622,6940576,6925357,959544,53480,893285,12779,5.57%,93.09%,1.33%
7,Dadra and Nagar Haveli and Daman and Diu,142759,25919,168678,162789,10129,375,9750,4,3.70%,96.26%,0.04%
8,Delhi,4045357,1179883,5225240,5191023,1421477,19148,1378634,23695,1.35%,96.99%,1.67%
9,Goa,408278,94783,503061,497126,150897,15791,132607,2499,10.46%,87.88%,1.66%
10,Gujarat,12095693,3991433,16087126,15897863,797997,55548,732748,9701,6.96%,91.82%,1.22%
11,Haryana,4645105,964257,5609362,5556368,747740,31644,708255,7841,4.23%,94.72%,1.05%
12,Himachal Pradesh,1950294,433284,2383578,2376358,184347,22181,159234,2932,12.03%,86.38%,1.59%
13,Jammu and Kashmir,2554142,540479,3094621,3046666,278859,43892,231265,3702,15.74%,82.93%,1.33%
14,Jharkhand,3350298,686359,4036657,4012269,334035,14196,314929,4910,4.25%,94.28%,1.47%
15,Karnataka,9938507,2651330,12589837,12389189,2499784,409945,2062910,26929,16.40%,82.52%,1.08%
16,Kerala,6767010,2020297,8787307,8756649,2424388,248910,2167596,7882,10.27%,89.41%,0.33%
17,Ladakh,101179,37264,138443,136287,18045,1664,16200,181,9.22%,89.78%,1.00%
18,Lakshadweep,24445,6935,31380,31318,7229,2247,4956,26,31.08%,68.56%,0.36%
19,Madhya Pradesh,8414188,1763210,10177398,10175220,771878,43265,720855,7758,5.61%,93.39%,1.01%
20,Maharashtra,16920616,4431707,21352323,21212433,5650907,317733,5241833,91341,5.62%,92.76%,1.62%
21,Manipur,365745,70172,435917,424161,46298,7243,38325,730,15.64%,82.78%,1.58%
22,Meghalaya,375497,74206,449703,446312,32295,8055,23728,512,24.94%,73.47%,1.59%
23,Mizoram,256097,51060,307157,306426,11143,2817,8292,34,25.28%,74.41%,0.31%
24,Nagaland,208821,51875,260696,259660,20795,4923,15545,327,23.67%,74.75%,1.57%
25,Odisha,5926992,1448686,7375678,7325330,726003,99791,623628,2584,13.75%,85.90%,0.36%
26,Puducherry,203180,50956,254136,251379,99540,14842,83263,1435,14.91%,83.65%,1.44%
27,Punjab,4142075,748350,4890425,4853015,552235,50549,487859,13827,9.15%,88.34%,2.50%
28,Rajasthan,13305224,3058955,16364179,16283420,927746,78126,841602,8018,8.42%,90.71%,0.86%
29,Sikkim,178314,59633,237947,236857,13806,3422,10145,239,24.79%,73.48%,1.73%
30,Tamil Nadu,5940657,1973620,7914277,7650500,1945260,310224,1613221,21815,15.95%,82.93%,1.12%
31,Telangana,4476636,1175633,5652269,5588684,563903,38632,522082,3189,6.85%,92.58%,0.57%
32,Tripura,1060345,507111,1567456,1565078,48507,7471,40557,479,15.40%,83.61%,0.99%
33,Uttar Pradesh,13681405,3392753,17074158,16816336,1680684,62271,1598701,19712,3.71%,95.12%,1.17%
34,Uttarakhand,2155996,681803,2837799,2829073,321337,43520,271704,6113,13.54%,84.55%,1.90%
35,West Bengal,9717657,3836569,13554226,13486207,1318203,123377,1179999,14827,9.36%,89.52%,1.12%
