,State_UT,Dose_1,Dose_2,Total_Vaccination,Total_Vaccination_Yesterday
0,Andaman and Nicobar,105932,15154,121086,120277
1,Andhra Pradesh,6076647,2383116,8459763,8156085
2,Arunachal Pradesh,251246,78111,329357,328545
3,Assam,3121334,813577,3934911,3898903
4,Bihar,8309462,1754468,10063930,9986557
5,Chandigarh,250116,74697,324813,323363
6,Chhattisgarh,5843954,1096622,6940576,6925357
7,Dadra and Nagar Haveli and Daman and Diu,142759,25919,168678,162789
8,Delhi,4045357,1179883,5225240,5191023
9,Goa,408278,94783,503061,497126
10,Gujarat,12095693,3991433,16087126,15897863
11,Haryana,4645105,964257,5609362,5556368
12,Himachal Pradesh,1950294,433284,2383578,2376358
13,Jammu and Kashmir,2554142,540479,3094621,3046666
14,Jharkhand,3350298,686359,4036657,4012269
15,Karnataka,9938507,2651330,12589837,12389189
16,Kerala,6767010,2020297,8787307,8756649
17,Ladakh,101179,37264,138443,136287
18,Lakshadweep,24445,6935,31380,31318
19,Madhya Pradesh,8414188,1763210,10177398,10175220
20,Maharashtra,16920616,4431707,21352323,21212433
21,Manipur,365745,70172,435917,424161
22,Meghalaya,375497,74206,449703,446312
23,Mizoram,256097,51060,307157,306426
24,Nagaland,208821,51875,260696,259660
25,Odisha,5926992,1448686,7375678,7325330
26,Puducherry,203180,50956,254136,251379
27,Punjab,4142075,748350,4890425,4853015
28,Rajasthan,13305224,3058955,16364179,16283420
29,Sikkim,178314,59633,237947,236857
30,Tamil Nadu,5940657,1973620,7914277,7650500
31,Telangana,4476636,1175633,5652269,5588684
32,Tripura,1060345,507111,1567456,1565078
33,Uttar Pradesh,13681405,3392753,17074158,16816336
34,Uttarakhand,2155996,681803,2837799,2829073
35,West Bengal,9717657,3836569,13554226,13486207
36,Miscellaneous,1714125,1446279,3160404,3159373
